
============================================================
Translating to: Spanish (es)
============================================================
Total unique strings: 320,731
Already translated:   229,098
Pending:              91,633
Will translate:       91,633
  Consensus tier:    91,633 strings (dual-engine + verification)
  Single-pass tier:  0 strings (fast, 1 engine)
Total batches: 2291 (0 single@80, 2291 consensus@40)
Concurrency: 4

Phase 2: Consensus tier (2291 batches)...
  [0.4%] Batch 10/2291 | 229,519 done | 99.4% high-conf | 1067 verified | 54 err | 139s elapsed | ~31790s ETA
  [0.9%] Batch 20/2291 | 229,919 done | 99.3% high-conf | 1074 verified | 54 err | 250s elapsed | ~28436s ETA
  [1.3%] Batch 30/2291 | 230,319 done | 99.3% high-conf | 1090 verified | 54 err | 353s elapsed | ~26568s ETA
  [1.7%] Batch 40/2291 | 230,719 done | 99.3% high-conf | 1110 verified | 54 err | 468s elapsed | ~26312s ETA
  [2.2%] Batch 50/2291 | 231,119 done | 99.3% high-conf | 1118 verified | 54 err | 609s elapsed | ~27312s ETA
  [2.6%] Batch 60/2291 | 231,557 done | 99.3% high-conf | 1132 verified | 54 err | 728s elapsed | ~27057s ETA
  [3.1%] Batch 70/2291 | 231,958 done | 99.3% high-conf | 1139 verified | 54 err | 852s elapsed | ~27029s ETA
  [3.5%] Batch 80/2291 | 232,319 done | 99.3% high-conf | 1145 verified | 54 err | 986s elapsed | ~27259s ETA
  [3.9%] Batch 90/2291 | 232,719 done | 99.3% high-conf | 1153 verified | 54 err | 1131s elapsed | ~27671s ETA
  [4.4%] Batch 100/2291 | 233,119 done | 99.3% high-conf | 1158 verified | 54 err | 1237s elapsed | ~27100s ETA
  [4.8%] Batch 110/2291 | 233,518 done | 99.3% high-conf | 1164 verified | 55 err | 1371s elapsed | ~27185s ETA
  [5.2%] Batch 120/2291 | 233,918 done | 99.3% high-conf | 1168 verified | 55 err | 1553s elapsed | ~28102s ETA
  [5.7%] Batch 130/2291 | 234,318 done | 99.3% high-conf | 1177 verified | 55 err | 1715s elapsed | ~28501s ETA
  [6.1%] Batch 140/2291 | 234,718 done | 99.3% high-conf | 1196 verified | 55 err | 1844s elapsed | ~28335s ETA
  [6.5%] Batch 150/2291 | 235,118 done | 99.3% high-conf | 1228 verified | 55 err | 2043s elapsed | ~29160s ETA
  [7.0%] Batch 160/2291 | 235,518 done | 99.3% high-conf | 1236 verified | 55 err | 2256s elapsed | ~30042s ETA
  [7.4%] Batch 170/2291 | 235,918 done | 99.3% high-conf | 1243 verified | 55 err | 2490s elapsed | ~31063s ETA
  [7.9%] Batch 180/2291 | 236,318 done | 99.3% high-conf | 1251 verified | 55 err | 2674s elapsed | ~31360s ETA
  [8.3%] Batch 190/2291 | 236,718 done | 99.3% high-conf | 1260 verified | 55 err | 2832s elapsed | ~31320s ETA
  [8.7%] Batch 200/2291 | 237,118 done | 99.3% high-conf | 1264 verified | 55 err | 3026s elapsed | ~31633s ETA
  [9.2%] Batch 210/2291 | 237,518 done | 99.3% high-conf | 1284 verified | 55 err | 3144s elapsed | ~31160s ETA
  [9.6%] Batch 220/2291 | 237,918 done | 99.2% high-conf | 1308 verified | 55 err | 3294s elapsed | ~31012s ETA
  [10.0%] Batch 230/2291 | 238,318 done | 99.2% high-conf | 1318 verified | 55 err | 3427s elapsed | ~30705s ETA
  [10.5%] Batch 240/2291 | 238,718 done | 99.2% high-conf | 1322 verified | 55 err | 3543s elapsed | ~30279s ETA
  [10.9%] Batch 250/2291 | 239,118 done | 99.2% high-conf | 1328 verified | 55 err | 3731s elapsed | ~30456s ETA
  [11.3%] Batch 260/2291 | 239,518 done | 99.2% high-conf | 1333 verified | 55 err | 3941s elapsed | ~30788s ETA
  [11.8%] Batch 270/2291 | 239,918 done | 99.2% high-conf | 1340 verified | 55 err | 4081s elapsed | ~30549s ETA
  [12.2%] Batch 280/2291 | 240,357 done | 99.2% high-conf | 1389 verified | 55 err | 4230s elapsed | ~30380s ETA
  [12.7%] Batch 290/2291 | 240,718 done | 99.2% high-conf | 1397 verified | 55 err | 4329s elapsed | ~29873s ETA
  [13.1%] Batch 300/2291 | 241,118 done | 99.2% high-conf | 1402 verified | 55 err | 4483s elapsed | ~29754s ETA
  [13.5%] Batch 310/2291 | 241,552 done | 99.2% high-conf | 1434 verified | 55 err | 4764s elapsed | ~30445s ETA
  [14.0%] Batch 320/2291 | 241,901 done | 99.1% high-conf | 1443 verified | 72 err | 5011s elapsed | ~30865s ETA
  [14.4%] Batch 330/2291 | 242,301 done | 99.1% high-conf | 1446 verified | 72 err | 5306s elapsed | ~31528s ETA
  [14.8%] Batch 340/2291 | 242,701 done | 99.1% high-conf | 1469 verified | 112 err | 5712s elapsed | ~32776s ETA
  [15.3%] Batch 350/2291 | 243,100 done | 99.1% high-conf | 1471 verified | 113 err | 5911s elapsed | ~32782s ETA
  [15.7%] Batch 360/2291 | 243,500 done | 99.0% high-conf | 1476 verified | 113 err | 6141s elapsed | ~32937s ETA
  [16.2%] Batch 370/2291 | 243,900 done | 99.0% high-conf | 1486 verified | 113 err | 6533s elapsed | ~33917s ETA
  [16.6%] Batch 380/2291 | 244,300 done | 99.0% high-conf | 1489 verified | 1353 err | 9616s elapsed | ~48360s ETA
  [17.0%] Batch 390/2291 | 244,700 done | 99.0% high-conf | 1491 verified | 1353 err | 9768s elapsed | ~47613s ETA
  [17.5%] Batch 400/2291 | 245,138 done | 99.0% high-conf | 1506 verified | 1353 err | 9852s elapsed | ~46576s ETA
  [17.9%] Batch 410/2291 | 245,539 done | 99.0% high-conf | 1516 verified | 1513 err | 10322s elapsed | ~47356s ETA
  [18.3%] Batch 420/2291 | 245,900 done | 99.0% high-conf | 1537 verified | 1513 err | 10389s elapsed | ~46280s ETA
  [18.8%] Batch 430/2291 | 246,300 done | 99.0% high-conf | 1550 verified | 1513 err | 10464s elapsed | ~45288s ETA
  [19.2%] Batch 440/2291 | 246,700 done | 99.0% high-conf | 1571 verified | 1513 err | 10564s elapsed | ~44440s ETA
  [19.6%] Batch 450/2291 | 247,100 done | 99.0% high-conf | 1576 verified | 1553 err | 10708s elapsed | ~43808s ETA
  [20.1%] Batch 460/2291 | 247,500 done | 99.0% high-conf | 1580 verified | 1553 err | 10816s elapsed | ~43053s ETA
  [20.5%] Batch 470/2291 | 247,900 done | 99.0% high-conf | 1586 verified | 1553 err | 10899s elapsed | ~42228s ETA
  [21.0%] Batch 480/2291 | 248,300 done | 99.0% high-conf | 1593 verified | 1553 err | 11012s elapsed | ~41547s ETA
  [21.4%] Batch 490/2291 | 248,700 done | 99.0% high-conf | 1593 verified | 1553 err | 11250s elapsed | ~41351s ETA
  [21.8%] Batch 500/2291 | 249,100 done | 99.0% high-conf | 1594 verified | 1553 err | 11436s elapsed | ~40964s ETA
  [22.3%] Batch 510/2291 | 249,500 done | 99.0% high-conf | 1598 verified | 1553 err | 11543s elapsed | ~40309s ETA
  [22.7%] Batch 520/2291 | 249,900 done | 99.0% high-conf | 1604 verified | 1553 err | 11622s elapsed | ~39581s ETA
  [23.1%] Batch 530/2291 | 250,300 done | 99.0% high-conf | 1610 verified | 1553 err | 11699s elapsed | ~38870s ETA
  [24.0%] Batch 550/2291 | 251,100 done | 99.0% high-conf | 1619 verified | 1553 err | 11866s elapsed | ~37562s ETA
  [24.4%] Batch 560/2291 | 251,500 done | 99.0% high-conf | 1625 verified | 1553 err | 11973s elapsed | ~37008s ETA
  [24.9%] Batch 570/2291 | 251,900 done | 99.0% high-conf | 1634 verified | 1553 err | 12060s elapsed | ~36411s ETA
  [25.3%] Batch 580/2291 | 252,291 done | 99.0% high-conf | 1646 verified | 1562 err | 12204s elapsed | ~36002s ETA
  [25.8%] Batch 590/2291 | 252,691 done | 99.0% high-conf | 1654 verified | 1562 err | 12437s elapsed | ~35858s ETA
  [26.2%] Batch 600/2291 | 253,091 done | 99.0% high-conf | 1656 verified | 1642 err | 12657s elapsed | ~35670s ETA
  [26.6%] Batch 610/2291 | 253,296 done | 99.0% high-conf | 1657 verified | 1957 err | 13155s elapsed | ~36251s ETA
  [27.1%] Batch 620/2291 | 253,657 done | 99.0% high-conf | 1665 verified | 2156 err | 13586s elapsed | ~36616s ETA
  [27.5%] Batch 630/2291 | 254,057 done | 99.0% high-conf | 1673 verified | 2156 err | 13670s elapsed | ~36041s ETA
  [27.9%] Batch 640/2291 | 254,457 done | 99.0% high-conf | 1685 verified | 2156 err | 13754s elapsed | ~35481s ETA
  [28.4%] Batch 650/2291 | 254,857 done | 99.0% high-conf | 1690 verified | 2156 err | 13827s elapsed | ~34907s ETA
  [28.8%] Batch 660/2291 | 255,249 done | 99.0% high-conf | 1695 verified | 2164 err | 13961s elapsed | ~34500s ETA
  [29.2%] Batch 670/2291 | 255,649 done | 99.0% high-conf | 1704 verified | 2164 err | 14147s elapsed | ~34228s ETA
  [29.7%] Batch 680/2291 | 256,088 done | 99.0% high-conf | 1725 verified | 2204 err | 14662s elapsed | ~34735s ETA
