
============================================================
Translating to: Simplified Chinese (zh)
============================================================
Total unique strings: 320,731
Already translated:   6,400
Pending:              314,331
Will translate:       314,331
  Consensus tier:    125,298 strings (dual-engine + verification)
  Single-pass tier:  189,033 strings (fast, 1 engine)
Total batches: 5496 (2363 single@80, 3133 consensus@40)
Concurrency: 4

Phase 1: Single-pass tier (2363 batches)...
  [0.2%] Batch 10/5496 | 7,199 done | 100.0% high-conf | 0 verified | 1 err | 66s elapsed | ~36462s ETA
  [0.4%] Batch 20/5496 | 7,999 done | 100.0% high-conf | 0 verified | 1 err | 124s elapsed | ~33954s ETA
  [0.5%] Batch 30/5496 | 8,799 done | 100.0% high-conf | 0 verified | 1 err | 181s elapsed | ~32981s ETA
  [0.7%] Batch 40/5496 | 9,599 done | 100.0% high-conf | 0 verified | 1 err | 238s elapsed | ~32471s ETA
  [0.9%] Batch 50/5496 | 10,399 done | 100.0% high-conf | 0 verified | 1 err | 299s elapsed | ~32541s ETA
  [1.1%] Batch 60/5496 | 11,199 done | 100.0% high-conf | 0 verified | 1 err | 355s elapsed | ~32179s ETA
  [1.3%] Batch 70/5496 | 11,999 done | 100.0% high-conf | 0 verified | 1 err | 404s elapsed | ~31351s ETA
  [1.5%] Batch 80/5496 | 12,799 done | 100.0% high-conf | 0 verified | 1 err | 446s elapsed | ~30184s ETA
  [1.6%] Batch 90/5496 | 13,599 done | 100.0% high-conf | 0 verified | 1 err | 509s elapsed | ~30595s ETA
  [1.8%] Batch 100/5496 | 14,399 done | 100.0% high-conf | 0 verified | 1 err | 588s elapsed | ~31738s ETA
  [2.0%] Batch 110/5496 | 15,199 done | 100.0% high-conf | 0 verified | 1 err | 658s elapsed | ~32198s ETA
  [2.2%] Batch 120/5496 | 15,999 done | 100.0% high-conf | 0 verified | 1 err | 735s elapsed | ~32914s ETA
  [2.4%] Batch 130/5496 | 16,799 done | 100.0% high-conf | 0 verified | 1 err | 805s elapsed | ~33236s ETA
